grupo,fluorescencia
Tratamento1,7.5261708865716725
Tratamento1,7.023539989232788
Tratamento1,7.8074334831601835
Tratamento1,7.710176960489654
Tratamento1,6.5751511468707715
Tratamento1,6.311677872523719
Tratamento1,7.122227554314384
Tratamento1,8.858824181794224
Tratamento1,5.513071509215319
Tratamento1,5.238969681097072
Tratamento1,7.19771300948382
Tratamento1,7.0610652422272215
Tratamento1,7.20800999724449
Tratamento1,7.2927438374902005
Tratamento1,6.732157294438234
Tratamento1,8.787836126322498
Tratamento1,5.078915225828181
Tratamento1,6.005803570263705
Tratamento1,6.876094287821143
Tratamento1,5.028173426614999
Tratamento1,6.7889747146815145
Tratamento1,8.993764198873622
Tratamento1,7.025063785955155
Tratamento1,7.2768410868624205
Tratamento1,5.487802281792904
Tratamento1,6.260366310352627
Tratamento1,6.549764343611276
Tratamento1,6.618741883892519
Tratamento1,8.537972554004522
Tratamento1,7.669229272870149
Tratamento1,5.666250451675562
Tratamento1,7.295805734118406
Tratamento1,7.597866098196143
Tratamento1,8.36817884622552
Tratamento1,8.896648823882048
Tratamento1,5.781886969806558
Tratamento1,6.026970986547594
Tratamento1,5.49090656930246
Tratamento1,6.7191761690716225
Tratamento1,7.559630049335602
Tratamento1,8.184801419906922
Tratamento1,6.908858771628973
Tratamento1,6.616182972094188
Tratamento1,7.182109590698489
Tratamento1,5.997828518043972
Tratamento1,9.507446466033727
Tratamento1,5.07080676745833
Tratamento1,7.221688694674869
Tratamento1,9.428327463075567
Tratamento1,7.008159813471997
Tratamento2,4.619921929997011
Tratamento2,4.285109154379145
Tratamento2,4.639216636475185
Tratamento2,7.745696949353061
Tratamento2,0.5762761773409864
Tratamento2,8.066867402592651
Tratamento2,2.15208569509971
Tratamento2,4.46669534153117
Tratamento2,4.141511159402676
Tratamento2,6.177106539541439
Tratamento2,1.8037512962325049
Tratamento2,5.9243453321638855
Tratamento2,9.048619246573704
Tratamento2,2.273651990814379
Tratamento2,5.379412335220791
Tratamento2,3.676035644406782
Tratamento2,5.851774412386072
Tratamento2,5.038295554831504
Tratamento2,3.717026181911381
Tratamento2,5.975744569742148
Tratamento2,8.608696219573487
Tratamento2,4.618192416545402
Tratamento2,6.439515884296364
Tratamento2,2.4134540842576726
Tratamento2,3.0871272463639823
Tratamento2,5.9448125557607545
Tratamento2,7.96823205707193
Tratamento2,5.71122669757132
Tratamento2,4.373883938953691
Tratamento2,4.998582810846708
Tratamento2,2.499184532060565
Tratamento2,6.209030652710734
Tratamento2,6.764666124646818
Tratamento2,4.095819334333839
Tratamento2,4.059915704480997
Tratamento2,5.531756459304097
Tratamento2,4.126560527918809
Tratamento2,4.867734770748355
Tratamento2,9.199443578333032
Tratamento2,4.505948598508007
Tratamento2,4.283319695957555
Tratamento2,3.7049163887296817
Tratamento2,6.4883839429998735
Tratamento2,4.637551653563794
Tratamento2,3.701253923357148
Tratamento2,7.642608064546025
Tratamento2,7.839206009027274
Tratamento2,3.7991528685225897
Tratamento2,1.2669200972787675
Tratamento2,7.015027379673844
Tratamento2,3.630740348479992
Tratamento2,6.581251198325537
Tratamento2,1.059792364576329
Tratamento2,6.785194676598619
Tratamento2,2.5776561414384376
Tratamento2,6.461528238133049
Tratamento2,5.028546135672868
Tratamento2,3.0921211612067103
Tratamento2,4.185927374146439
Tratamento2,6.372636913913402
Tratamento2,5.211788906230469
Tratamento2,6.168825960944968
Tratamento2,8.95288116903097
Tratamento2,1.8715167765778973
Tratamento2,8.234425149937248
Tratamento2,5.208711875046426
Tratamento2,3.2024319033537436
Tratamento2,2.3393727485220204
Tratamento2,4.621759218445933
Tratamento2,6.843300223848919
Tratamento2,4.744901759244931
Tratamento2,8.022309860494694
Tratamento2,2.0976486198968822
Tratamento2,4.975822104307891
Tratamento2,2.495213111173762
Tratamento2,5.727263765249936
Tratamento2,6.773774780194601
Tratamento2,4.158476412637894
Tratamento2,-0.20842771325426845
Tratamento2,5.397896293592989
Tratamento2,5.873477103467019
Tratamento2,5.8085895099233955
Tratamento2,7.471564383644308
Tratamento2,2.8578926407019023
Tratamento2,6.360432210900899
Tratamento2,7.385015024955949
Tratamento2,1.4428248319869663
Tratamento2,5.639303651837954
Tratamento2,3.991640337984657
Tratamento2,4.836954653796708
Tratamento2,5.695352967076673
Tratamento2,4.025542871772895
Tratamento2,3.6485838416767766
Tratamento2,5.0683048349760496
Tratamento2,2.8255081222743947
Tratamento2,2.828349742229629
Tratamento2,6.358746565913007
Tratamento2,2.702411929682688
Tratamento2,6.332625001818424
Tratamento2,5.925182585707902
